supplier_id,supplier_name,category,region,on_time_delivery_pct,quality_score,cost_variance_pct,avg_lead_time_days,defect_rate_pct,compliance_score,risk_score,total_orders,avg_order_value_usd,late_deliveries,contract_breach_count,supplier_performance_score,supplier_segment
SUP1000,Supplier_0,Mechanical Parts,North America,84.28,74.31,8.54,58.7,7.29,74.82,91.66,462,182621.39,16,0,62.27,Approved
SUP1001,Supplier_1,Chemicals,North America,81.87,85.91,2.31,40.5,3.51,82.76,70.55,402,163788.69,48,2,74.57,Preferred
SUP1002,Supplier_2,Packaging,North America,69.28,64.92,2.08,56.4,0.32,95.27,67.18,221,106335.24,48,4,71.82,Preferred
SUP1003,Supplier_3,Chemicals,North America,75.64,95.55,10.96,21.7,2.9,97.68,39.43,165,155456.43,35,2,80.35,Preferred
SUP1004,Supplier_4,Chemicals,Middle East,83.78,80.12,-0.96,48.0,6.61,89.58,0.13,35,106925.29,16,3,82.49,Preferred
SUP1005,Supplier_5,Electronics,Middle East,79.87,77.97,11.49,47.1,5.61,63.46,12.02,91,35828.01,17,2,73.12,Preferred
SUP1006,Supplier_6,Packaging,APAC,99.51,83.43,0.17,43.0,3.67,86.77,53.46,92,29323.54,22,0,82.01,Preferred
SUP1007,Supplier_7,Packaging,India,65.46,84.99,-1.79,58.1,0.44,76.41,67.51,140,41731.81,33,4,72.97,Preferred
SUP1008,Supplier_8,Packaging,North America,87.81,62.87,1.35,26.6,3.42,78.83,41.74,338,73429.81,7,4,74.41,Preferred
SUP1009,Supplier_9,Chemicals,APAC,76.17,87.3,9.06,12.2,3.75,61.97,73.07,109,186453.21,12,2,67.73,Approved
SUP1010,Supplier_10,Mechanical Parts,India,77.13,69.68,-6.85,41.9,7.43,67.64,52.19,265,160937.29,22,3,64.54,Approved
SUP1011,Supplier_11,Packaging,Europe,88.7,88.56,-5.09,45.1,5.13,91.62,7.42,488,89396.3,19,0,85.29,Strategic
SUP1012,Supplier_12,Chemicals,Middle East,87.7,92.9,13.79,36.6,2.49,78.16,19.2,58,101149.96,21,1,82.37,Preferred
SUP1013,Supplier_13,Electronics,India,99.65,92.16,-5.61,16.4,4.2,72.07,84.0,410,56793.84,46,4,75.28,Preferred
SUP1014,Supplier_14,Mechanical Parts,Europe,65.14,82.1,4.19,32.7,0.53,75.36,72.49,72,142348.83,22,2,70.45,Preferred
SUP1015,Supplier_15,Electronics,India,64.16,80.81,4.48,22.2,7.78,94.18,89.48,320,161539.31,40,3,62.82,Approved
SUP1016,Supplier_16,Mechanical Parts,Middle East,88.97,65.72,2.24,28.5,2.88,89.96,11.76,416,51586.42,34,3,81.85,Preferred
SUP1017,Supplier_17,Chemicals,Middle East,83.14,91.01,6.12,40.5,3.82,70.89,99.02,299,13155.22,2,0,68.66,Approved
SUP1018,Supplier_18,Raw Materials,APAC,70.97,70.86,-4.25,46.0,2.84,64.7,20.94,114,126658.34,33,4,72.91,Preferred
SUP1019,Supplier_19,Mechanical Parts,North America,63.18,79.87,3.82,17.8,5.46,70.08,1.18,114,114689.86,32,0,74.49,Preferred
SUP1020,Supplier_20,Electronics,India,63.43,71.37,-0.7,27.3,5.3,96.83,99.74,334,83415.58,45,1,62.75,Approved
SUP1021,Supplier_21,Chemicals,India,95.77,65.35,6.54,19.8,5.72,83.26,28.11,24,130559.32,16,1,75.87,Preferred
SUP1022,Supplier_22,Mechanical Parts,Europe,67.67,85.18,-6.47,15.9,2.15,81.34,66.8,184,112369.59,44,1,71.3,Preferred
SUP1023,Supplier_23,Raw Materials,Middle East,72.93,62.17,4.27,48.1,2.53,83.86,17.67,268,53863.41,18,3,74.89,Preferred
SUP1024,Supplier_24,Raw Materials,India,69.07,89.95,-5.37,55.0,1.0,74.64,58.02,220,82557.15,29,4,74.64,Preferred
SUP1025,Supplier_25,Packaging,Middle East,74.2,72.7,-3.03,25.4,5.24,92.28,90.4,421,88482.15,22,0,65.86,Approved
SUP1026,Supplier_26,Packaging,India,62.78,60.01,-4.53,46.3,0.32,80.93,32.02,268,176648.36,14,0,71.35,Preferred
SUP1027,Supplier_27,Electronics,APAC,80.76,80.45,-5.43,54.3,4.78,64.67,67.03,111,192376.31,13,1,68.54,Approved
SUP1028,Supplier_28,Mechanical Parts,North America,62.7,61.87,10.64,51.5,6.96,65.16,18.79,269,179135.27,1,4,62.95,Approved
SUP1029,Supplier_29,Mechanical Parts,India,92.01,71.05,-2.86,15.1,7.13,81.47,62.48,353,145239.71,38,4,70.63,Preferred
SUP1030,Supplier_30,Packaging,Middle East,69.35,88.28,13.18,57.6,3.59,97.46,33.65,168,119073.58,48,2,76.44,Preferred
